cur_rate,cur_ee,per_ee,b_type,p_type,tenure,area,water_ee,wind_ee,wall_ee,roof_ee,heat_ee,con_ee,light_ee,pv,sol_wat,quality_index,build_year,building_age,fuel_group,is_community_heating,has_boiler,has_air_hp,has_ground_hp,has_micro_chp,has_community,has_storage_heaters,has_room_heaters,has_electric_underfloor,has_electric_ceiling,has_radiators,has_underfloor,has_warm_air,uses_gas,uses_oil,uses_electricity,uses_biomass,uses_coal,floor_type,floor_boundary,floor_insulation,floor_u_value,floor_ins_num,dhw_no_cylinder_stat,dhw_has_solar,dhw_has_waste_heat,dhw_system,dhw_energy,wall_type,wall_insulation,wall_u_value,roof_type,roof_boundary,roof_insulation_type,roof_insulation_mm,roof_u_value,has_time_control,has_temp_control,has_room_control,glazing_type,glazing_quality,glazing_level,glazing_coverage
d,67.0,86.0,semi-detached,bungalow,rented (social),45.0,4,3,3,4,4,4,5,no,no,4.0,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,270.0,,1,1,1,double,unknown,double,full
c,72.0,86.0,mid-terrace,house,rented (social),87.0,4,3,3,5,4,3,5,no,no,4.0,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,300.0,,1,1,0,double,unknown,double,full
d,64.0,73.0,detached,house,owner-occupied,174.0,4,3,3,5,4,4,5,no,no,4.2,1915,109,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,300.0,,1,1,1,double,modern,double,partial
d,59.0,87.0,semi-detached,house,owner-occupied,84.0,2,4,3,3,4,3,4,no,no,3.4,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,1,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,100.0,,1,1,0,double,modern,double,full
d,60.0,80.0,detached,house,owner-occupied,89.0,4,3,2,4,4,4,5,no,no,3.8,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,none,,pitched,external,loft,150.0,,1,1,1,double,unknown,double,full
d,65.0,86.0,mid-terrace,house,owner-occupied,73.0,4,3,1,4,4,3,5,no,no,3.4,1940,84,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,solid,none,,pitched,external,loft,150.0,,1,1,0,double,old,double,full
c,73.0,85.0,mid-terrace,house,rented (private),105.0,4,4,1,4,4,4,5,no,no,3.6,1915,109,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,solid,none,,pitched,external,loft,200.0,,1,1,1,double,modern,double,full
c,74.0,80.0,mid-terrace,flat,owner-occupied,54.0,3,3,4,4,3,2,3,no,no,3.2,1993,31,electricity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,unknown,dwelling_below,unknown,,,0,0,0,electric_immersion,electricity,cavity,insulated_as_built,,pitched,external,loft,200.0,,1,0,0,double,old,double,full
c,72.0,90.0,mid-terrace,house,rented (private),51.0,4,3,4,4,4,1,5,no,no,3.6,1986,38,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,timber_frame,insulated_as_built,,pitched,external,loft,150.0,,1,1,0,double,unknown,double,full
c,80.0,80.0,end-terrace,flat,rented (private),39.0,4,4,4,0,4,4,5,no,no,3.4,2009,15,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,external_air,insulated,,2.0,0,0,0,boiler,unknown,system_built,insulated_as_built,,dwelling_above,dwelling_above,unknown,,,1,1,1,double,modern,double,full
e,45.0,73.0,detached,house,owner-occupied,500.0,3,2,1,1,3,4,5,no,no,2.8,1890,134,oil,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,solid,none,,pitched,external,none,,,1,1,1,double,modern,double,partial
d,66.0,79.0,detached,house,owner-occupied,171.0,4,4,3,4,4,4,5,no,no,4.0,1915,109,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,200.0,,1,1,1,double,modern,double,full
c,74.0,89.0,mid-terrace,house,rented (social),62.0,4,4,3,5,4,4,5,no,no,4.2,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,300.0,,1,1,1,double,modern,double,full
c,69.0,86.0,end-terrace,house,rented (private),55.0,4,3,4,3,4,4,5,no,no,4.0,1986,38,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,insulated_as_built,,pitched,external,insulated,,,1,1,1,double,unknown,double,full
